OMB Control No,Agency/Sub,Title,Request Type,Date Received,Concluded Date,Conclusion Action,Current Expiration Date,No. of ICs,No. of Forms,AdminYear,Web_ICR Ref. No.,Web_Request Type,Web_Date Received By OIRA,Web_Conclusion Date,Web_Conclusion Action,Request Year
0518-0046,USDA/ARS,Food Safety Education and Training Materials Sharing Form,Revision of a currently approved collection,11/20/2013 0:00,6/3/2014 0:00,Approved without change,12/31/2016 0:00,2,0,2016,201308-0518-001,Discontinue,12/6/2016,12/19/2016,Approved,2016
0524-0046,USDA/NIFA,Veterinary Medicine Loan Repayment Program (VMLRP) Shortage Situation,Extension without change of a currently approved collection,8/27/2013 0:00,11/22/2013 0:00,Approved without change,11/30/2016 0:00,1,1,2016,201308-0524-003,Discontinue,10/24/2016,11/7/2016,Approved,2016
0524-0047,USDA/NIFA,Veterinary Medicine Loan Repayment Program Application,Revision of a currently approved collection,9/17/2014 0:00,1/16/2015 0:00,Approved without change,11/30/2016 0:00,2,9,2016,201406-0524-001,Discontinue,10/24/2016,11/22/2016,Approved,2016
0535-0236,USDA/NASS,Census of Horticultural Specialties,Reinstatement with change of a previously approved collection,8/8/2014 0:00,9/25/2014 0:00,Approved without change,1/31/2016 0:00,2,2,2016,202404-0535-006,Reinstatement with change of a previously approved collection,7/16/2024,8/19/2024,Approved without change,2024
0535-0240,USDA/NASS,"Tenure, Ownership, and Transition of Agricultural Land (TOTAL)",Reinstatement with change of a previously approved collection,9/15/2014 0:00,11/5/2014 0:00,Approved without change,1/31/2016 0:00,2,2,2016,202407-0535-002,Reinstatement with change of a previously approved collection,9/19/2024,10/25/2024,Approved without change,2024
0535-0252,USDA/NASS,Wheat and Barley Scab Control Practices Survey,New collection (Request for a new OMB Control Number),8/20/2013 0:00,2/6/2014 0:00,Approved without change,7/31/2016 0:00,2,1,2016,201307-0535-004,Discontinue,7/14/2016,7/18/2016,Approved,2016
0535-0253,USDA/NASS,Pesticide Protection Equipment,New collection (Request for a new OMB Control Number),11/26/2013 0:00,4/3/2014 0:00,Approved without change,7/31/2016 0:00,2,3,2016,201311-0535-001,Discontinue,7/14/2016,7/18/2016,Approved,2016
0536-0070,USDA/ERS,Experimental Economic Research,Extension without change of a currently approved collection,11/25/2014 0:00,1/12/2015 0:00,Approved without change,6/30/2016 0:00,2,0,2016,201411-0536-001,Discontinue,6/21/2016,6/27/2016,Approved,2016
0536-0071,USDA/ERS,Rural Establishment Innovation Survey (REIS) (Also Known as National Survey of Business Competitiveness),No material or nonsubstantive change to a currently approved collection,8/21/2014 0:00,8/25/2014 0:00,Approved without change,7/31/2016 0:00,12,0,2016,201408-0536-001,Discontinue,7/19/2016,7/22/2016,Approved,2016
0560-0185,USDA/FSA,Highly Erodible Land Conservation and Wetland Conservation (7 CFR Part 12),Revision of a currently approved collection,5/7/2013 0:00,10/23/2013 0:00,Approved without change,10/12/2016 0:00,4,25,2016,201210-0560-001,Discontinue,9/29/2016,10/12/2016,Approved,2016
0570-0016,USDA/RBS,"7 CFR 4287-B, ""Servicing Business and Industry Guaranteed Loans""",Revision of a currently approved collection,10/31/2012 0:00,8/28/2013 0:00,Approved with change,8/31/2016 0:00,2,4,2016,201206-0570-001,Discontinue,8/2/2016,8/3/2016,Approved,2016
0570-0017,USDA/RBS,"7 CFR 4279-B, Guaranteed Loanmaking - Business and Industry Loans",Revision of a currently approved collection,5/28/2013 0:00,8/12/2013 0:00,Approved with change,8/31/2016 0:00,2,14,2016,201304-0570-002,Discontinue,8/2/2016,8/3/2016,Approved,2016
0570-0018,USDA/RBS,"7 CFR 4279-A, Guaranteed Loanmaking - General",Revision of a currently approved collection,1/3/2013 0:00,8/21/2013 0:00,Approved without change,8/31/2016 0:00,2,2,2016,201208-0570-001,Discontinue,8/2/2016,8/3/2016,Approved,2016
0570-0022,USDA/RBS,"7 CFR 1942-G, Rural Business Enterprise Grants and Television Demonstration Grants",Revision of a currently approved collection,6/6/2013 0:00,5/1/2014 0:00,Approved with change,3/31/2016 0:00,2,12,2016,201305-0570-001,Discontinue,3/4/2016,3/7/2016,Approved,2016
0570-0024,USDA/RBS,Rural Business Opportunity Grants - 7 CFR part 4284-G,Extension without change of a currently approved collection,3/5/2014 0:00,5/7/2015 0:00,Approved with change,3/31/2016 0:00,2,16,2016,201401-0570-001,Discontinue,3/4/2016,3/7/2016,Approved,2016
0572-0097,USDA/RUS,"7 CFR Part 1703-H, Deferments of RUS Loan Payments for Rural Development Projects",Extension without change of a currently approved collection,10/15/2012 0:00,4/2/2013 0:00,Approved with change,1/31/2016 0:00,1,0,2016,201209-0572-005,Discontinue,1/27/2016,1/29/2016,Approved,2016
0572-0115,USDA/RUS,"Use of Consultants Funded by Borrowers, 7 CFR Part 1789",Extension without change of a currently approved collection,9/4/2012 0:00,12/28/2012 0:00,Approved without change,1/31/2016 0:00,1,0,2016,201202-0572-003,Discontinue,1/14/2016,1/29/2016,Approved,2016
0572-0142,USDA/RUS,Broadband Initiatives Program,Revision of a currently approved collection,2/22/2013 0:00,11/22/2013 0:00,Approved with change,6/1/2016 0:00,2,0,2016,201211-0572-002,Discontinue,5/23/2016,6/1/2016,Approved,2016
0575-0094,USDA/RHS,"7 CFR 1940 Subpart G, Environmental Program",Revision of a currently approved collection,5/29/2013 0:00,2/27/2014 0:00,Approved without change,12/31/2016 0:00,3,3,2016,201304-0575-001,Discontinue,12/13/2016,12/27/2016,Approved,2016
0579-0015,USDA/APHIS,Restricted and Controlled Importation of Animal and Poultry Products and ByProducts into the United States,Revision of a currently approved collection,7/30/2012 0:00,1/14/2013 0:00,Approved with change,2/10/2016 0:00,3,7,2016,202405-0579-003,No material or nonsubstantive change to a currently approved collection,5/8/2024,6/18/2024,Approved without change,2024
0579-0047,USDA/APHIS,Brucellosis Program,Revision of a currently approved collection,1/3/2013 0:00,4/10/2013 0:00,Approved without change,5/3/2016 0:00,2,42,2016,202203-0579-004,Revision of a currently approved collection,7/25/2022,1/22/2024,Approved without change,2022
0579-0049,USDA/APHIS,Foreign Quarantine Notices,Revision of a currently approved collection,1/17/2013 0:00,2/18/2013 0:00,Approved with change,3/2/2016 0:00,3,11,2016,202203-0579-001,Revision of a currently approved collection,3/10/2022,12/15/2023,Approved without change,2022
0579-0054,USDA/APHIS,Federal Plant Pest and Noxious Weeds Regulations,Revision of a currently approved collection,3/20/2013 0:00,7/2/2013 0:00,Approved without change,7/31/2016 0:00,3,3,2016,202208-0579-004,Revision of a currently approved collection,9/14/2022,2/14/2023,Approved without change,2022
0579-0090,USDA/APHIS,Specimen Submission,Extension without change of a currently approved collection,12/26/2012 0:00,2/13/2013 0:00,Approved without change,3/2/2016 0:00,2,7,2016,202111-0579-002,Revision of a currently approved collection,1/3/2022,8/21/2023,Approved without change,2022
0579-0093,USDA/APHIS,Animal Welfare,Revision of a currently approved collection,11/26/2012 0:00,1/14/2013 0:00,Approved without change,2/1/2016 0:00,2,4,2016,201204-0579-002,Discontinue,1/28/2016,2/1/2016,Approved,2016
0579-0101,USDA/APHIS,Scrapie in Sheep and Goats; Interstate Movement Restrictions and Indemnity Program,Revision of a currently approved collection,11/21/2012 0:00,2/18/2013 0:00,Approved with change,3/2/2016 0:00,2,34,2016,202501-0579-005,No material or nonsubstantive change to a currently approved collection,2/10/2025,3/27/2025,Approved without change,2025
